promedio,promedio_establecimiento,desviacion,nivel_superior,nivel_minimo,nivel_satisfactorio,nivel_avanzado
292.0,3.1,53.0,26.0,57.0,17.0,0.0
312.0,2.1,64.0,18.0,27.0,32.0,23.0
308.0,3.1,65.0,39.0,28.0,18.0,15.0
316.0,2.1,66.0,16.0,32.0,31.0,22.0
296.0,2.7,56.0,20.0,37.0,30.0,13.0
313.0,4.1,57.0,8.0,41.0,45.0,6.0
292.0,2.4,62.0,19.0,51.0,22.0,8.0
278.0,2.3,62.0,56.0,27.0,10.0,8.0
290.0,4.2,59.0,26.0,64.0,8.0,2.0
303.0,2.6,56.0,19.0,40.0,29.0,13.0
351.0,5.8,75.0,10.0,22.0,24.0,44.0
295.0,5.3,55.0,19.0,61.0,19.0,2.0
321.0,4.5,58.0,14.0,27.0,37.0,22.0
361.0,3.0,62.0,2.0,25.0,38.0,36.0
319.0,5.7,59.0,8.0,41.0,47.0,5.0
331.0,2.9,60.0,21.0,32.0,25.0,21.0
322.0,2.3,57.0,5.000000000000002,40.0,51.0,4.0
284.0,2.1,52.0,28.0,59.0,11.0,1.0
302.0,1.1999999999999997,55.0,17.0,34.0,34.0,16.0
320.0,1.6,61.0,9.0,43.0,31.0,17.0
298.0,1.7,63.0,41.0,32.0,16.0,12.0
308.0,1.5000000000000002,61.0,17.0,39.0,26.0,18.0
291.0,3.3,54.0,15.0,59.0,18.0,8.0
281.0,3.0,49.0,53.0,34.0,9.0,4.0
295.0,0.0,41.0,9.0,81.0,9.0,0.0
287.0,2.6,49.0,23.0,53.0,19.0,6.0
289.0,2.5,47.0,24.0,43.0,24.0,10.0
309.0,0.0,47.0,6.0,43.0,51.0,0.0
335.0,0.0,66.0,9.0,23.0,40.0,28.0
341.0,0.0,66.0,7.0,35.0,30.0,28.0
345.0,0.0,72.0,16.0,37.0,16.0,30.0
338.0,0.0,65.0,7.0,28.0,35.0,30.0
337.0,3.0,63.0,7.0,49.0,32.0,12.0
357.0,2.5,54.0,0.0,22.0,54.0,24.0
316.0,2.0,53.0,7.0,37.0,35.0,21.0
302.0,1.1,53.0,30.0,39.0,24.0,6.0
312.0,3.4,68.0,20.0,50.0,21.0,9.0
334.0,2.8,56.0,4.0,35.0,53.0,9.0
324.0,2.3,56.0,8.0,31.0,39.0,21.0
317.0,1.3000000000000003,52.0,8.0,44.0,40.0,9.0
274.0,3.6,50.0,32.0,46.0,14.0,7.0
309.0,0.0,55.0,6.0,48.0,45.0,1.0
293.0,0.0,52.0,12.0,57.0,25.0,6.0
288.0,0.0,55.0,27.0,61.0,11.0,2.0
257.0,0.0,47.0,67.0,28.0,4.0,1.0
277.0,3.2,45.0,35.0,41.0,23.0,2.0
343.0,4.8,60.0,3.0,26.0,62.0,8.0
319.0,7.9,62.0,9.0,28.0,38.0,25.0
314.0,5.3,66.0,16.0,53.0,26.0,5.0
362.0,0.0,54.0,0.0,21.0,40.0,40.0
331.0,7.5,59.0,6.0,31.0,41.0,22.0
291.0,0.0,62.0,47.0,26.0,18.0,8.0
276.0,2.0,50.0,18.0,63.0,17.0,2.0
292.0,2.3,50.0,23.0,43.0,29.0,5.0
299.0,0.0,45.0,21.0,60.0,19.0,0.0
259.0,2.0,47.0,65.00000000000001,29.0,5.0,1.0
287.0,1.9,51.0,22.0,40.0,27.0,11.0
302.0,0.0,59.0,15.0,44.0,42.0,0.0
269.0,4.5,51.0,35.0,58.0,7.0,0.0
308.0,4.6,57.0,12.0,48.0,35.0,6.0
284.0,6.6,65.0,21.0,40.0,30.0,9.0
295.0,5.7,70.0,42.0,33.0,17.0,8.0
324.0,5.3,52.0,11.0,26.0,45.0,17.0
308.0,4.7,54.0,9.0,44.0,44.0,2.0
350.0,2.8,52.0,1.0,20.0,65.0,14.0
272.0,4.8,58.0,60.0,26.0,11.0,3.0
290.0,2.7,50.0,20.0,48.0,22.0,9.0
288.0,4.6,57.0,23.0,42.0,31.0,5.0
325.0,3.3,62.0,15.0,48.0,30.0,6.0
277.0,2.9,54.0,31.0,44.0,19.0,6.0
290.0,6.1,57.0,26.0,39.0,21.0,14.0
296.0,6.1,56.0,23.0,40.0,26.0,11.0
306.0,6.7,67.0,16.0,40.0,37.0,6.0
292.0,6.3,63.0,22.0,57.0,16.0,5.0
282.0,4.2,53.0,20.0,58.0,19.0,4.0
279.0,5.2,65.0,49.0,35.0,8.0,7.0
294.0,2.5,54.0,19.0,42.0,27.0,12.0
337.0,5.0,59.0,6.0,31.0,42.0,21.0
339.0,3.0,47.0,0.0,32.0,61.0,7.0
289.0,3.0,47.0,20.0,69.0,11.0,0.0
307.0,4.4,57.0,36.0,35.0,16.0,13.0
311.0,2.6,60.0,17.0,29.0,39.0,15.0
289.0,4.5,60.0,21.0,45.0,32.0,1.0
274.0,4.7,54.0,38.0,39.0,14.0,9.0
282.0,4.8,51.0,31.0,44.0,19.0,6.0
291.0,3.1,61.0,14.0,55.0,23.0,7.0
268.0,4.2,57.0,50.0,41.0,8.0,1.0
266.0,2.8,56.0,59.0,31.0,7.0,2.0
290.0,1.6,50.0,24.0,45.0,23.0,8.0
291.0,2.8,58.0,28.0,53.0,16.0,3.0
305.0,1.1,57.0,13.0,51.0,27.0,9.0
288.0,1.6,50.0,24.0,40.0,25.0,12.0
278.0,1.0,49.0,54.0,32.0,12.0,2.0
317.0,2.8,59.0,9.0,41.0,44.0,5.0
344.0,1.0,56.0,2.0,31.0,56.0,12.0
330.0,1.1,59.0,9.0,53.0,31.0,7.0
333.0,3.4,79.0,23.0,29.0,21.0,27.0
338.0,2.3,54.0,2.0,32.0,56.0,10.0
355.0,3.3,69.0,4.0,24.0,38.0,34.0
310.0,2.5,58.0,15.0,59.0,23.0,2.0
329.0,2.1,62.0,10.0,25.0,31.0,35.0
338.0,2.2,64.0,13.0,18.0,37.0,32.0
340.0,2.4,56.0,5.000000000000002,17.0,41.0,38.0
361.0,3.0,54.0,2.0,20.0,61.0,17.0
358.0,2.3,59.0,1.0,24.0,38.0,36.0
313.0,2.1,54.0,27.0,40.0,24.0,9.0
362.0,3.4,59.0,2.0,33.0,50.0,15.0
360.0,2.2,53.0,1.0,14.0,46.0,39.0
372.0,2.1,79.0,4.0,33.0,40.0,23.0
344.0,0.8999999999999999,61.0,17.0,24.0,35.0,24.0
341.0,1.8,59.0,6.0,29.0,30.0,35.0
355.0,0.8999999999999999,57.0,4.0,16.0,53.0,28.0
365.0,1.6,61.0,2.0,18.0,59.0,21.0
320.0,1.9,60.0,12.0,29.0,35.0,24.0
325.0,5.6,59.0,7.0,31.0,60.0,2.0
292.0,3.6,46.0,22.0,43.0,30.0,6.0
302.0,4.3,68.0,19.0,38.0,28.0,16.0
286.0,4.2,67.0,55.0,21.0,15.0,9.0
312.0,5.4,57.0,14.0,59.0,22.0,5.0
278.0,4.1,52.0,30.0,44.0,20.0,7.0
301.0,3.7,57.0,19.0,39.0,25.0,17.0
307.0,3.4,53.0,14.0,40.0,32.0,14.0
316.0,5.3,57.0,8.0,39.0,48.0,5.0
306.0,4.7,58.0,10.0,51.0,30.0,8.0
282.0,3.9,54.0,50.0,34.0,12.0,4.0
307.0,5.6,59.0,13.0,64.0,20.0,3.0
308.0,3.1,69.0,18.0,35.0,26.0,21.0
315.0,4.5,61.0,10.0,42.0,35.0,13.0
340.0,0.0,48.0,0.0,32.0,58.0,10.0
281.0,4.2,56.0,54.0,28.0,12.0,6.0
300.0,3.1,68.0,21.0,32.0,25.0,22.0
306.0,0.0,57.0,19.0,57.0,21.0,2.0
277.0,0.5,52.0,24.0,55.0,18.0,3.0
276.0,3.5,59.0,32.0,57.0,9.0,2.0
266.0,0.8000000000000003,46.0,42.0,44.0,8.0,6.0
281.0,0.8000000000000003,46.0,27.0,48.0,21.0,4.0
246.0,0.6000000000000001,51.0,78.0,16.0,4.0,2.0
281.0,4.0,60.0,21.0,53.0,24.0,2.0
281.0,3.8,62.0,33.0,51.0,14.0,2.0
268.0,1.8,59.0,62.0,20.0,15.0,3.0
326.0,1.9,52.0,11.0,26.0,43.0,20.0
297.0,3.5,57.0,14.0,49.0,36.0,1.0
288.0,1.6,45.0,22.0,44.0,26.0,7.0
304.0,1.8,61.0,20.0,42.0,31.0,8.0
283.0,1.6,50.0,27.0,46.0,19.0,8.0
306.0,1.6,50.0,16.0,35.0,37.0,12.0
